icao,ident,name,municipality,state,latitude_deg,longitude_deg,iso_country,type,point_category,source
SWFV,SWFV,Terramare,GUAPÉ,MG,-20.7225,-45.864444,BR,private_aerodrome,Brasil,ANAC_privados
SWFW,SWFW,Fazenda Terra Way - VII,TABAPORÃ,MT,-11.547222,-56.026944,BR,private_aerodrome,Brasil,ANAC_privados
SWFY,SWFY,Fapar,CAXIAS DO SUL,Rio Grande do Sul,-29.181944,-51.236111,BR,heliport,Brasil,ANAC_helipontos
SWFZ,SWFZ,Fazenda Galiléia,ALMAS,TO,-11.561111,-47.146111,BR,private_aerodrome,Brasil,ANAC_privados
SWGA,SWGA,Represa Avaré,AVARÉ,São Paulo,-23.201944,-48.984722,BR,heliport,Brasil,ANAC_helipontos
SWGB,SWGB,Gabinete Militar,GOIÂNIA,Goiás,-16.681667,-49.255556,BR,heliport,Brasil,ANAC_helipontos
SWGC,SWGC,Agricenter,PONTA PORÃ,MS,-22.623889,-55.568889,BR,private_aerodrome,Brasil,ANAC_privados
SWGD,SWGD,Fazenda Estrela,BAIXA GRANDE DO RIBEIRO,PI,-8.4719444,-45.329444,BR,private_aerodrome,Brasil,ANAC_privados
SWGE,SWGE,Green Technology,CAMPO LARGO,Paraná,-25.435278,-49.425833,BR,heliport,Brasil,ANAC_helipontos
SWGF,SWGF,Fazenda Fortaleza,NOVO ARIPUANÃ,AM,-7.9077778,-61.25,BR,private_aerodrome,Brasil,ANAC_privados
SWGJ,SWGJ,Fazenda Campo Grande,BAIANÓPOLIS,BA,-12.712222,-44.590556,BR,private_aerodrome,Brasil,ANAC_privados
SWGK,SWGK,André Guimarães,LAURO DE FREITAS,Bahia,-12.875278,-38.308611,BR,heliport,Brasil,ANAC_helipontos
SWGL,SWGL,AAGV - Associação Aerodesportiva de Getulio Vargas,GETÚLIO VARGAS,RS,-27.8625,-52.184722,BR,private_aerodrome,Brasil,ANAC_privados
SWGM,SWGM,Panco Guararema,GUARAREMA,São Paulo,-23.336944,-46.143333,BR,heliport,Brasil,ANAC_helipontos
SWGO,SWGO,Santa Cecília,GOIANÉSIA,GO,-15.343056,-49.135833,BR,private_aerodrome,Brasil,ANAC_privados
SWGP,SWGP,Palmeiras de Goiás,PALMEIRAS DE GOIÁS,GO,-16.826944,-49.879444,BR,private_aerodrome,Brasil,ANAC_privados
SWGQ,SWGQ,Fazenda Monte Alegre,NOVA OLÍMPIA,MT,-14.780833,-57.354167,BR,private_aerodrome,Brasil,ANAC_privados
SWGR,SWGR,Urbanova,SÃO JOSÉ DOS CAMPOS,São Paulo,-23.184167,-45.9325,BR,heliport,Brasil,ANAC_helipontos
SWGS,SWGS,Fazenda Rancho Branco,NOVA MARINGÁ,MT,-12.228333,-57.237778,BR,private_aerodrome,Brasil,ANAC_privados
SWGT,SWGT,Fazenda Nova,JANDAIA,GO,-17.172222,-50.208611,BR,private_aerodrome,Brasil,ANAC_privados
SWGU,SWGU,Fazenda São Gabriel,BRASNORTE,MT,-12.656111,-58.249167,BR,private_aerodrome,Brasil,ANAC_privados
SWGV,SWGV,Fazenda Cocal II,CANARANA,MT,-12.801944,-52.607778,BR,private_aerodrome,Brasil,ANAC_privados
